,sentence,cat
0,Would be super sexy if you are only about 4 ft tall.,1.0
1,"I'm 5'5"" and this barely stretched to the underside of my boobs.",1.0
2,Don't waste your $,3.0
3,Tiny fit and terrible print!,3.0
4,Got it for my brother who normally wears a large.,1.0
5,Got him the XXL which is extremely small on him.,1.0
6,The print looks terrible also.,3.0
7,Very blurry and distorted.,3.0
8,I contacted the seller to see if I could return it or exchange and was suppose to hear back with in 48 hours and that was about 10 days ago.,0.0
9,"Bottom line, don't waste your money.",3.0
10,got to wear it once then the elephant (which is the reason I bought it to begin with) broke!,3.0
11,The sleeves were 3/4 not long sleeves like the picture.,3.0
12,"The shirt had loose threads all over, poor quality.",3.0
13,I would never order again off here.,-1.0
14,The shirt is worth 5 dollars if that..not 14.99,3.0
15,Looks even better than the picture.,3.0
16,This is my favorite purse because it matches everything I wear.,3.0
17,It holds everything I need.,3.0
18,It is a very elegant looking multi colored purse.,3.0
19,I absolutely love it.,-1.0
20,"However, after giving it a 5 star, I am changing it to a 1 star.",-1.0
21,The leather is peeling off and the purse is falling apart.,3.0
22,I am so disappointed.,-1.0
23,It wasn't well made at all.,3.0
24,These gloves are NOT lined in cashmere.,3.0
25,"The lining is some kind of cheap synthetic plush stuff, but it is NOT cashmere.",3.0
26,I've owned cashmere lined gloves for years and I know what cashmere is and what it looks like and how warm it is in very cold temps.,3.0
27,These gloves didn't even keep my hands warm at temps in the 20's.,-1.0
28,I've worn my other gloves in below zero weather and my hands stayed warm.,-1.0
29,"The gloves LOOK nice, but if you want cashmere, don't order these.",-1.0
30,"Not only did this ""bra"" take forever to arrive, but it was entirely too small.",1.0
31,Not even a child could wear this item.,1.0
32,"I would not even consider it a bra, honestly.",-1.0
33,I would say it most resembles 2 little pads attached to a piece of stringed cloth.,1.0
34,"If you were still inclined to order this, I would recommend going a few sizes up.",1.0
35,"It just does not work in any way, shape, or form.",3.0
36,I would definitely not recommend to anyone.,-1.0
37,"I wanted to use this for my vacation trip, but I have no time to return this or eve order a new one for myself.",-1.0
38,Save yourself the trouble.,-1.0
39,Not good at all broke in one week,3.0
40,NOT A GOOD BUY.,-1.0
41,"The straps were sewn backwards so when I wore it, it flipped the the back of the dress inside out.",3.0
42,"Also, the bottom of the dress was ripped.",3.0
43,Went straight to the garbage.,-1.0
44,Not like the picture at allCheap made.,-1.0
45,You pay what you get.,-1.0
46,I tried to return for a smaller size but was told to take a closer look at the sizing chart.,1.0
47,"By all accounts, I am a large.",1.0
48,Not really sure why it fit so much bigger on me according to the sizing chart says it should or compared to everything else in my wardrobe that is a large.,1.0
49,Very disappointed I was not able to exchange for a small size.....especially before my vacation.,1.0
